2025-08-16 13:38:07,596 - __main__ - INFO - Processed 15000 files, 0 changed
2025-08-16 13:38:07,597 - __main__ - INFO - Processed 15000 files (13.03% complete)
2025-08-16 13:38:07,605 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起13.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,606 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起15.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,607 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起16.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,608 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起17.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,609 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起18.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,609 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起19.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,610 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起20.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,611 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起21.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,612 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起22.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,612 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起23.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,613 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起24.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,614 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起25.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
2025-08-16 13:38:07,615 - __main__ - ERROR - Error translating ./3.0 Auto Farming AFK series/All Map Open chests/Inazuma/8Enkanomiya/Daytime expose + small amount of puzzles/缘起26.json: 'utf-8' codec can't decode byte 0xc6 in position 31: invalid continuation byte
